问题id,问题,实体答案,final_ans1,ans_list
134,森赫电梯股份有限公司与哪些高等教育机构开展合作？,森赫电梯股份有限公司,"森赫电梯股份有限公司与清华大学、浙江大学、英国利物浦大学、马来西亚普特拉大学等国内外知名院校开展了产学研合作。此外，该公司还与上海理工大学、合肥工业大学等高校进行了联合研发项目。
森赫电梯股份有限公司与清华大学、浙江大学、英国利物浦大学、马来西亚普特拉大学等国内外院校深入开展产学研合作。
森赫电梯股份有限公司已经与清华大学、浙江大学、英国利物浦大学、马来西亚普特拉大学等国内外知名院校开展了产学研合作。
森赫电梯股份有限公司与马来西亚普特拉大学、清华大学、杭州电子科技大学、湖州师范学院等国内外知名院校开展了产学研合作。
森赫电梯股份有限公司与科研院校等合作方长期开展合作研发项目，但资料中并未明确说明具体的高等教育机构名称。
森赫电梯股份有限公司与清华大学、马来西亚普特拉大学等高校开展合作。
森赫电梯股份有限公司与马来西亚普特拉大学、清华大学、杭州电子科技大学、湖州师范学院等国内外知名院校开展了一系列产学研合作。
森赫电梯股份有限公司目前与清华大学、浙江大学、英国利物浦大学、马来西亚普特拉大学等国内外知名院校开展了一系列产学研合作。
森赫电梯股份有限公司与清华大学、浙江大学、英国利物浦大学、马来西亚普特拉大学等国内外院校深入开展产学研合作。
","['森赫电梯股份有限公司与清华大学、浙江大学、英国利物浦大学、马来西亚普特拉大学等国内外知名院校开展了产学研合作。此外，该公司还与上海理工大学、合肥工业大学等高校进行了联合研发项目。', '森赫电梯股份有限公司与清华大学、浙江大学、英国利物浦大学、马来西亚普特拉大学等国内外院校深入开展产学研合作。', '森赫电梯股份有限公司已经与清华大学、浙江大学、英国利物浦大学、马来西亚普特拉大学等国内外知名院校开展了产学研合作。', '森赫电梯股份有限公司与马来西亚普特拉大学、清华大学、杭州电子科技大学、湖州师范学院等国内外知名院校开展了产学研合作。', '森赫电梯股份有限公司与科研院校等合作方长期开展合作研发项目，但资料中并未明确说明具体的高等教育机构名称。', '森赫电梯股份有限公司与清华大学、马来西亚普特拉大学等高校开展合作。', '森赫电梯股份有限公司与马来西亚普特拉大学、清华大学、杭州电子科技大学、湖州师范学院等国内外知名院校开展了一系列产学研合作。', '森赫电梯股份有限公司目前与清华大学、浙江大学、英国利物浦大学、马来西亚普特拉大学等国内外知名院校开展了一系列产学研合作。', '森赫电梯股份有限公司与清华大学、浙江大学、英国利物浦大学、马来西亚普特拉大学等国内外院校深入开展产学研合作。']"
135,西安启源机电装备股份有限公司董事是谁？,西安启源机电装备股份有限公司,"西安启源机电装备股份有限公司董事包括田伯虎、李世坤、赵友安。
西安启源机电装备股份有限公司的现任董事会秘书是赵利军先生。
西安启源机电装备股份有限公司的独立董事包括赵利军先生。
西安启源机电装备股份有限公司的董事长是李生龙。
西安启源机电装备股份有限公司的董事包括李世坤、赵友安、刘杰、李铁军、莫会成。这些信息可以从给出的资料中找到。
西安启源机电装备股份有限公司的董事包括李杰、郝小更、孙惠、姜群、田伯虎、王学成、于海年、李肇林、张晓岚以及后来加入的李世坤和赵友安。
西安启源机电装备股份有限公司的董事包括田伯虎、李世坤、李杰、赵友安、刘杰、李铁军、莫会成。
西安启源机电装备股份有限公司的董事会成员包括赵友安先生和郝小更先生。
","['西安启源机电装备股份有限公司董事包括田伯虎、李世坤、赵友安。', '西安启源机电装备股份有限公司的现任董事会秘书是赵利军先生。', '西安启源机电装备股份有限公司的独立董事包括赵利军先生。', '西安启源机电装备股份有限公司的董事长是李生龙。', '西安启源机电装备股份有限公司的董事包括李世坤、赵友安、刘杰、李铁军、莫会成。这些信息可以从给出的资料中找到。', '西安启源机电装备股份有限公司的董事包括李杰、郝小更、孙惠、姜群、田伯虎、王学成、于海年、李肇林、张晓岚以及后来加入的李世坤和赵友安。', '西安启源机电装备股份有限公司的董事包括田伯虎、李世坤、李杰、赵友安、刘杰、李铁军、莫会成。', '西安启源机电装备股份有限公司的董事会成员包括赵友安先生和郝小更先生。']"
136,2017年1-6月，大博医疗科技股份有限公司向前10名客户的销售额合计占当期营业收入的比例是多少？,大博医疗科技股份有限公司,"2017年1-6月，大博医疗科技股份有限公司向前10名客户的销售额合计占当期营业收入的比例为29.44%。
2017年1-6月，大博医疗科技股份有限公司向前10名客户的销售额合计占当期营业收入的比例为29.87%。
根据资料，在2017年1-6月中，大博医疗科技股份有限公司向前10名客户的销售额合计为250,652,180.44元，占当期营业收入的100%。因此，答案是250,652,180.44元/100% = 100%。
2017年1-6月，大博医疗科技股份有限公司向前10名客户的销售额合计占当期营业收入的比例是29.44%。
2017年1-6月，大博医疗科技股份有限公司向前10名客户的销售额合计占当期营业收入的比例是21.36%。
根据资料，2017年1-6月，大博医疗科技股份有限公司向前10名客户的销售额合计占当期营业收入的比例为25.21%。
","['2017年1-6月，大博医疗科技股份有限公司向前10名客户的销售额合计占当期营业收入的比例为29.44%。', '2017年1-6月，大博医疗科技股份有限公司向前10名客户的销售额合计占当期营业收入的比例为29.87%。', '根据资料，在2017年1-6月中，大博医疗科技股份有限公司向前10名客户的销售额合计为250,652,180.44元，占当期营业收入的100%。因此，答案是250,652,180.44元/100% = 100%。', '2017年1-6月，大博医疗科技股份有限公司向前10名客户的销售额合计占当期营业收入的比例是29.44%。', '2017年1-6月，大博医疗科技股份有限公司向前10名客户的销售额合计占当期营业收入的比例是21.36%。', '根据资料，2017年1-6月，大博医疗科技股份有限公司向前10名客户的销售额合计占当期营业收入的比例为25.21%。']"
137,20201014港股下跌的股票家数有多少家?,N_A,N_A,[]
138,在20211030，按照申万行业分类的行业划分标准，哪个一级行业的A股公司数量最多？,N_A,N_A,[]
139,在2021年的年度报告里，博道基金管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。,N_A,N_A,[]
140,南京中电联环保股份有限公司的经营范围是？,南京中电联环保股份有限公司,"南京中电联环保股份有限公司的经营范围是：环保、电力、化工、水处理设备的研发、设计、制造、系统集成及销售；自动控制、计算机软件、仪器仪表研发、设计、系统集成及销售；工程总承包、施工、安装、调试、技术服务及设备运营；高科技产业投资。
南京中电联环保股份有限公司的经营范围包括环保、电力、化工、水处理设备的研发、设计、制造、系统集成及销售；自动控制、计算机软件、仪器仪表研发、设计、系统集成及销售；工程总承包、施工、安装、调试、技术服务及设备运营；高科技产业投资。
","['南京中电联环保股份有限公司的经营范围是：环保、电力、化工、水处理设备的研发、设计、制造、系统集成及销售；自动控制、计算机软件、仪器仪表研发、设计、系统集成及销售；工程总承包、施工、安装、调试、技术服务及设备运营；高科技产业投资。', '南京中电联环保股份有限公司的经营范围包括环保、电力、化工、水处理设备的研发、设计、制造、系统集成及销售；自动控制、计算机软件、仪器仪表研发、设计、系统集成及销售；工程总承包、施工、安装、调试、技术服务及设备运营；高科技产业投资。']"
141,"请帮我查询下，在20210907，申万行业分类里一级行业为钢铁行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？",N_A,N_A,[]
142,"我想了解一下富国基金管理有限公司2020年成立的混合型基金,其管理费率的平均值是多少?请四舍五入保留小数点两位。",N_A,N_A,[]
143,"在20211231的年报(含半年报)中，国寿安保中债-3-5年政策性金融债指数C基金的债券持仓,其持有最大仓位的债券类型是什么?",N_A,N_A,[]
144,青海互助青稞酒股份有限公司的主营业务是什么？,青海互助青稞酒股份有限公司,"青海互助青稞酒股份有限公司的主营业务是生产和销售青稞酒产品。
青海互助青稞酒股份有限公司的主营业务是生产和销售青稞酒。
青海互助青稞酒股份有限公司的主营业务是生产销售青稞酒。
青海互助青稞酒股份有限公司的主营业务是白酒的生产、销售。
青海互助青稞酒股份有限公司的主营业务是青稞酒的生产和销售，主要包括互助、天佑德、八大作坊、永庆和四大系列青稞酒。
青海互助青稞酒股份有限公司的主营业务为青稞酒的研发、生产和销售，所处行业为酒精及饮料酒制造业。
青海互助青稞酒股份有限公司的主营业务是生产和销售青稞酒系列饮品。
青海互助青稞酒股份有限公司的主营业务为青稞酒的研发、生产和销售，所处行业为酒精及饮料酒制造业，主要产品含互助、天佑德、八大作坊、永庆和等系列青稞酒。
青海互助青稞酒股份有限公司的主营业务是生产销售青稞酒产品。
青海互助青稞酒股份有限公司的主营业务是青稞酒的研发、生产和销
","['青海互助青稞酒股份有限公司的主营业务是生产和销售青稞酒产品。', '青海互助青稞酒股份有限公司的主营业务是生产和销售青稞酒。', '青海互助青稞酒股份有限公司的主营业务是生产销售青稞酒。', '青海互助青稞酒股份有限公司的主营业务是白酒的生产、销售。', '青海互助青稞酒股份有限公司的主营业务是青稞酒的生产和销售，主要包括互助、天佑德、八大作坊、永庆和四大系列青稞酒。', '青海互助青稞酒股份有限公司的主营业务为青稞酒的研发、生产和销售，所处行业为酒精及饮料酒制造业。', '青海互助青稞酒股份有限公司的主营业务是生产和销售青稞酒系列饮品。', '青海互助青稞酒股份有限公司的主营业务为青稞酒的研发、生产和销售，所处行业为酒精及饮料酒制造业，主要产品含互助、天佑德、八大作坊、永庆和等系列青稞酒。', '青海互助青稞酒股份有限公司的主营业务是生产销售青稞酒产品。', '青海互助青稞酒股份有限公司的主营业务是青稞酒的研发、生产和销']"
145,请查询在2019年度，603078股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,N_A,N_A,[]
146,湖南国科微电子股份有限公司业务分为哪些产品线？,湖南国科微电子股份有限公司,"湖南国科微电子股份有限公司业务分为广播电视、智能监控、固态存储、物联网四条产品线。
湖南国科微电子股份有限公司的业务按公司的战略布局分为广播电视、智能监控、固态存储、物联网四条产品线。
湖南国科微电子股份有限公司的业务分为集成电路研发、设计及服务收入和智能视频监控系列芯片。
湖南国科微电子股份有限公司的主营业务包括广播电视、固态存储、安防监控、物联网等领域大规模集成电路与解决方案开发。因此，该公司的业务分为这四个产品线。
湖南国科微电子股份有限公司主要涉及大规模集成电路的设计、研发及销售，产品包括广播电视、固态存储、安防监控、物联网等领域的大规模集成电路与解决方案开发业务。
湖南国科微电子股份有限公司的产品线包括广播电视系列芯片、固态存储系列芯片以及其他技术开发服务。其中，广播电视系列芯片包含自产芯片的销售以及少量的贸易性质的收入。固态存储系列芯片目前主要面向对信息安全要求较高的客户，毛利率较高。此外，公司还提供技术开发服务，实现销售收入 1,724.25万元。
湖南国科微电子股份有限公司的业务主要包括广播电视系列芯片、智能视频监控系列芯片、固态存储系列芯片。
湖南国科微电子股份有限公司的业务分为广播电视系列芯片、固态存储系列芯片、智能视频监控系列芯片和贸易芯片四大类。
湖南国科微电子股份有限公司的业务分为信道均衡器、TS插值打包处理等主要功能模块，并集成可用于用户编程的微控制器、数字电视地面多媒体广播（DTMB）信道解调芯片以及智能监控系列芯片。
湖南国科微电子股份有限公司是一家集成电路设计企业，主要涉及以下产品线：1.固态存储系列芯片：包括高性能SSD主控芯片、eMMC控制器芯片、SLC NAND Flash存储芯片等；2.广播电视系列芯片：包括数字电视解码芯片、卫星导航定位芯片、直播星解码芯片等；3.物联网系列芯片：包括蓝牙音频芯片、Wi-Fi MCU芯片、NB-IoT物联网芯片等；4.视频编码系列芯片：包括H.265/H.264高清编码芯片、VP9编码芯片等。
","['湖南国科微电子股份有限公司业务分为广播电视、智能监控、固态存储、物联网四条产品线。', '湖南国科微电子股份有限公司的业务按公司的战略布局分为广播电视、智能监控、固态存储、物联网四条产品线。', '湖南国科微电子股份有限公司的业务分为集成电路研发、设计及服务收入和智能视频监控系列芯片。', '湖南国科微电子股份有限公司的主营业务包括广播电视、固态存储、安防监控、物联网等领域大规模集成电路与解决方案开发。因此，该公司的业务分为这四个产品线。', '湖南国科微电子股份有限公司主要涉及大规模集成电路的设计、研发及销售，产品包括广播电视、固态存储、安防监控、物联网等领域的大规模集成电路与解决方案开发业务。', '湖南国科微电子股份有限公司的产品线包括广播电视系列芯片、固态存储系列芯片以及其他技术开发服务。其中，广播电视系列芯片包含自产芯片的销售以及少量的贸易性质的收入。固态存储系列芯片目前主要面向对信息安全要求较高的客户，毛利率较高。此外，公司还提供技术开发服务，实现销售收入 1,724.25万元。', '湖南国科微电子股份有限公司的业务主要包括广播电视系列芯片、智能视频监控系列芯片、固态存储系列芯片。', '湖南国科微电子股份有限公司的业务分为广播电视系列芯片、固态存储系列芯片、智能视频监控系列芯片和贸易芯片四大类。', '湖南国科微电子股份有限公司的业务分为信道均衡器、TS插值打包处理等主要功能模块，并集成可用于用户编程的微控制器、数字电视地面多媒体广播（DTMB）信道解调芯片以及智能监控系列芯片。', '湖南国科微电子股份有限公司是一家集成电路设计企业，主要涉及以下产品线：1.固态存储系列芯片：包括高性能SSD主控芯片、eMMC控制器芯片、SLC NAND Flash存储芯片等；2.广播电视系列芯片：包括数字电视解码芯片、卫星导航定位芯片、直播星解码芯片等；3.物联网系列芯片：包括蓝牙音频芯片、Wi-Fi MCU芯片、NB-IoT物联网芯片等；4.视频编码系列芯片：包括H.265/H.264高清编码芯片、VP9编码芯片等。']"
147,请帮我查询下在2020年浙商基金管理有限公司成立的基金中，有多少只基金持仓过可转债债券？,N_A,N_A,[]
148,珠海健帆生物科技股份有限公司的核心技术产品有哪些？,珠海健帆生物科技股份有限公司,"珠海健帆生物科技股份有限公司的核心技术产品为一次性使用血液灌流器、一次性使用血浆胆红素吸附器、DNA免疫吸附柱。
珠海健帆生物科技股份有限公司的核心技术产品包括一次性使用血液灌流器、一次性使用血浆胆红素吸附器、DNA免疫吸附柱。这些产品广泛应用于尿毒症、中毒、重型肝病、自身免疫性疾病等多个病症领域，能够有效挽救患者生命或提高病患者生活质量。
珠海健帆生物科技股份有限公司的核心技术产品主要包括一次性使用血液灌流器、血液灌流机及一次性使用血浆胆红素吸附器等。
珠海健帆生物科技股份有限公司的核心技术产品是血液灌流器产品。
珠海健帆生物科技股份有限公司的核心技术产品包括血液灌流器产品和血液透析粉液产品。其中，血液灌流器产品主要用于解决各种疑难及危重病症，包括尿毒症、急性药物或毒物中毒、重症肝炎、脓毒症或系统性炎症综合症、银屑病或自身免疫性疾病、精神分裂、甲状腺危象、肿瘤化疗等多个病症领域。血液透析粉液产品则用于治疗慢性肾功能衰竭、急性肾功能衰竭、多器官功能衰竭等疾病。
珠海健帆生物科技股份有限公司的核心技术产品包括载体制备技术、包膜技术、配基技术和医用级净化处理技术。这些技术是基于公司从南开大学、吉林大学珠海学院、暨南大学等著名大学的合作研究取得的实验室技术，并在此基础上进行了应用性改进和独创性发展。
珠海健帆生物科技股份有限公司的核心技术产品包括载体技术、包膜技术、配基技术和医用级净化处理技术等。这些技术已经通过专利或保密技术手段得到了严格保护。
珠海健帆生物科技股份有限公司的核心技术产品有血液灌流相关产品。
珠海健帆生物科技股份有限公司的核心技术产品包括一次性使用血液灌流器、一次性使用血浆胆红素吸附器、DNA免疫吸附柱和血液灌流机等。这些产品均被认定为广东省高新技术产品和广东省名牌产品。此外，该公司还拥有一项名为“一次性使用血液灌流器”的广东省著名商标。
珠海健帆生物科技股份有限公司的主营业务是血液灌流相关产品的研发、生产和销售。其核心技术包括血液灌流器的核心材料和技术配方、血液灌流器的制造工艺以及血液灌流的应用技术等。
","['珠海健帆生物科技股份有限公司的核心技术产品为一次性使用血液灌流器、一次性使用血浆胆红素吸附器、DNA免疫吸附柱。', '珠海健帆生物科技股份有限公司的核心技术产品包括一次性使用血液灌流器、一次性使用血浆胆红素吸附器、DNA免疫吸附柱。这些产品广泛应用于尿毒症、中毒、重型肝病、自身免疫性疾病等多个病症领域，能够有效挽救患者生命或提高病患者生活质量。', '珠海健帆生物科技股份有限公司的核心技术产品主要包括一次性使用血液灌流器、血液灌流机及一次性使用血浆胆红素吸附器等。', '珠海健帆生物科技股份有限公司的核心技术产品是血液灌流器产品。', '珠海健帆生物科技股份有限公司的核心技术产品包括血液灌流器产品和血液透析粉液产品。其中，血液灌流器产品主要用于解决各种疑难及危重病症，包括尿毒症、急性药物或毒物中毒、重症肝炎、脓毒症或系统性炎症综合症、银屑病或自身免疫性疾病、精神分裂、甲状腺危象、肿瘤化疗等多个病症领域。血液透析粉液产品则用于治疗慢性肾功能衰竭、急性肾功能衰竭、多器官功能衰竭等疾病。', '珠海健帆生物科技股份有限公司的核心技术产品包括载体制备技术、包膜技术、配基技术和医用级净化处理技术。这些技术是基于公司从南开大学、吉林大学珠海学院、暨南大学等著名大学的合作研究取得的实验室技术，并在此基础上进行了应用性改进和独创性发展。', '珠海健帆生物科技股份有限公司的核心技术产品包括载体技术、包膜技术、配基技术和医用级净化处理技术等。这些技术已经通过专利或保密技术手段得到了严格保护。', '珠海健帆生物科技股份有限公司的核心技术产品有血液灌流相关产品。', '珠海健帆生物科技股份有限公司的核心技术产品包括一次性使用血液灌流器、一次性使用血浆胆红素吸附器、DNA免疫吸附柱和血液灌流机等。这些产品均被认定为广东省高新技术产品和广东省名牌产品。此外，该公司还拥有一项名为“一次性使用血液灌流器”的广东省著名商标。', '珠海健帆生物科技股份有限公司的主营业务是血液灌流相关产品的研发、生产和销售。其核心技术包括血液灌流器的核心材料和技术配方、血液灌流器的制造工艺以及血液灌流的应用技术等。']"
149,湖南长远锂科股份有限公司所属细分子行业是什么？,湖南长远锂科股份有限公司,"湖南长远锂科股份有限公司所属细分子行业为锂电池行业。
湖南长远锂科股份有限公司所属细分子行业是三元正极材料行业。
湖南长远锂科股份有限公司所属细分子行业是新能源电池材料行业。
湖南长远锂科股份有限公司属于电子专用材料制造业。
湖南长远锂科股份有限公司属于新能源电池材料行业。
湖南长远锂科股份有限公司所属细分子行业是锂电池正极材料行业。
湖南长远锂科股份有限公司属于新能源电池行业中的锂离子电池正极材料制造业。
湖南长远锂科股份有限公司属于电子专用材料制造行业。
湖南长远锂科股份有限公司属于新能源电池材料制造业。
湖南长远锂科股份有限公司属于电池材料行业。
","['湖南长远锂科股份有限公司所属细分子行业为锂电池行业。', '湖南长远锂科股份有限公司所属细分子行业是三元正极材料行业。', '湖南长远锂科股份有限公司所属细分子行业是新能源电池材料行业。', '湖南长远锂科股份有限公司属于电子专用材料制造业。', '湖南长远锂科股份有限公司属于新能源电池材料行业。', '湖南长远锂科股份有限公司所属细分子行业是锂电池正极材料行业。', '湖南长远锂科股份有限公司属于新能源电池行业中的锂离子电池正极材料制造业。', '湖南长远锂科股份有限公司属于电子专用材料制造行业。', '湖南长远锂科股份有限公司属于新能源电池材料制造业。', '湖南长远锂科股份有限公司属于电池材料行业。']"
150,"请帮我查询在2020年,中航基金管理有限公司成立哪种类型的基金个数最多?",N_A,N_A,[]
151,请查询在20190724日期，中信行业分类下房地产一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是什么？,N_A,N_A,[]
152,帮我查询在2020年12月31日，代码为009704的基金前20大重仓股票中属于中信二级酒类行业的平均市值是多少？小数点后保留不超过3位。,N_A,N_A,[]
153,招商基金管理有限公司2020年成立了多少基金?,N_A,N_A,[]
154,帮我查一下蜂巢添益纯债债券A基金在20210817的资产净值和单位净值是多少?,N_A,N_A,[]
155,浙江开尔新材料股份有限公司主要消耗的能源是什么？,浙江开尔新材料股份有限公司,"浙江开尔新材料股份有限公司主要消耗的能源是电力。
浙江开尔新材料股份有限公司消耗的主要能源是原材料、辅助材料及能源，具体可以参考招股意向书“第六节 业务和技术之四、主营业务基本情况（五）主要原材料及能源供应情况”。
浙江开尔新材料股份有限公司报告期内，电力供应价格基本稳定，价格波动对公司成本影响较小。
浙江开尔新材料股份有限公司主要消耗的能源是电力。
浙江开尔新材料股份有限公司生产所需能源与公司现有产品的情况基本相同，具体可见本招股意向书""第六节 业务和技术之四、主营业务基本情况(五)主要原材料及能源供应情况""。
浙江开尔新材料股份有限公司报告期内的主要能源价格是电力，价格为0.69元/度。
","['浙江开尔新材料股份有限公司主要消耗的能源是电力。', '浙江开尔新材料股份有限公司消耗的主要能源是原材料、辅助材料及能源，具体可以参考招股意向书“第六节 业务和技术之四、主营业务基本情况（五）主要原材料及能源供应情况”。', '浙江开尔新材料股份有限公司报告期内，电力供应价格基本稳定，价格波动对公司成本影响较小。', '浙江开尔新材料股份有限公司主要消耗的能源是电力。', '浙江开尔新材料股份有限公司生产所需能源与公司现有产品的情况基本相同，具体可见本招股意向书""第六节 业务和技术之四、主营业务基本情况(五)主要原材料及能源供应情况""。', '浙江开尔新材料股份有限公司报告期内的主要能源价格是电力，价格为0.69元/度。']"
156,"请帮我查询在2019年,海富通基金管理有限公司成立哪种类型的基金个数最多?",N_A,N_A,[]
157,云南沃森生物技术股份有限公司的第一个产品是什么？何时上市？,云南沃森生物技术股份有限公司,"云南沃森生物技术股份有限公司的第一个产品是Hib疫苗，于2007年9月正式上市销售。
云南沃森生物技术股份有限公司的第一个产品是Hib疫苗，于2009年上市。
云南沃森生物技术股份有限公司的第一个产品是Hib，于2007年9月成功上市销售。
云南沃森生物技术股份有限公司的第一个产品是冻干A、C群脑膜炎球菌多糖结合疫苗。该产品于2006年上市。
云南沃森生物技术股份有限公司的第一个产品是Hib疫苗，于2007年9月上市。
云南沃森生物技术股份有限公司的第一个产品是冻干 A、C 群脑膜炎球菌多糖结合疫苗，该产品于2009年9月上市。
云南沃森生物技术股份有限公司的第一个产品是Hib，于2007年9月上市。
云南沃森生物技术股份有限公司的第一个产品是Hib疫苗，于2007年9月上市销售。
云南沃森生物技术股份有限公司的第一个产品是乙肝疫苗，但资料中没有说明该产品何时上市。
云南沃森生物技术股份有限公司的第一个产品是A、C群脑膜炎球菌多糖疫苗，该产品于2007年9月上市。
","['云南沃森生物技术股份有限公司的第一个产品是Hib疫苗，于2007年9月正式上市销售。', '云南沃森生物技术股份有限公司的第一个产品是Hib疫苗，于2009年上市。', '云南沃森生物技术股份有限公司的第一个产品是Hib，于2007年9月成功上市销售。', '云南沃森生物技术股份有限公司的第一个产品是冻干A、C群脑膜炎球菌多糖结合疫苗。该产品于2006年上市。', '云南沃森生物技术股份有限公司的第一个产品是Hib疫苗，于2007年9月上市。', '云南沃森生物技术股份有限公司的第一个产品是冻干 A、C 群脑膜炎球菌多糖结合疫苗，该产品于2009年9月上市。', '云南沃森生物技术股份有限公司的第一个产品是Hib，于2007年9月上市。', '云南沃森生物技术股份有限公司的第一个产品是Hib疫苗，于2007年9月上市销售。', '云南沃森生物技术股份有限公司的第一个产品是乙肝疫苗，但资料中没有说明该产品何时上市。', '云南沃森生物技术股份有限公司的第一个产品是A、C群脑膜炎球菌多糖疫苗，该产品于2007年9月上市。']"
158,请查询在20210519日期，中信行业分类下电力设备及新能源一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是什么？,N_A,N_A,[]
159,请帮我查询在截止2019-12-31的报告期间，基金总份额降低的基金数量是多少？,N_A,N_A,[]
160,湖南南岭民用爆破器材股份有限公司技术中心现有多少研发人员？其中具有高级职称和中级职称的人员分别有多少人？,湖南南岭民用爆破器材股份有限公司,"湖南南岭民用爆破器材股份有限公司技术中心现有研发人员38人，其中具有高级职称人员6人，中级职称18人。
根据资料，湖南南岭民用爆破器材股份有限公司技术中心共有152名技术研发人员。具有高级职称的研发人员有12人，具有中级职称的研发人员有105人。
湖南南岭民用爆破器材股份有限公司技术中心现有研发人员38人，其中具有高级职称人员6人，中级职称18人。
","['湖南南岭民用爆破器材股份有限公司技术中心现有研发人员38人，其中具有高级职称人员6人，中级职称18人。', '根据资料，湖南南岭民用爆破器材股份有限公司技术中心共有152名技术研发人员。具有高级职称的研发人员有12人，具有中级职称的研发人员有105人。', '湖南南岭民用爆破器材股份有限公司技术中心现有研发人员38人，其中具有高级职称人员6人，中级职称18人。']"
161,请列出国泰基金管理有限公司在2020年成立并且托管人为中国邮政储蓄银行股份有限公司的所有基金的基金托管费率的平均数。,N_A,N_A,[]
162,请帮我查询出20201020日，电力及公用事业一级行业涨幅超过5%（不包含）的股票数量。,N_A,N_A,[]
